Country,City,lng,lat
United Kingdom of Great Britain and Northern Ireland,Guildford,-0.5703,51.2365
Russian Federation,Gukovo,39.9167,48.05
United States of America,Hazelwood,-90.3899,38.7931
Germany,Heddesheim,8.6033,49.5053
Germany,Heiligenhaus,6.9667,51.3167
United Kingdom of Great Britain and Northern Ireland,Hemel Hempstead,-0.4692,51.7526
United States of America,Hicksville,-73.5245,40.7637
Germany,Haiger,8.2039,50.7422
China,Hangzhou,120.1675,30.25
Germany,Harrislee,9.3764,54.7972
United States of America,Harrison,-74.1531,40.7431
United States of America,Harrison,-73.7193,41.0236
United States of America,Harrison,-93.1198,36.2438
United States of America,Harrison,-84.7868,39.2584
United States of America,Harrison,-88.2941,44.1935
United States of America,Harrison,-79.7173,40.6374
Germany,Hasbergen,7.9167,52.2167
France,Haubourdin,2.9869,50.6092
United States of America,Taunton,-3.1,51.019
United States of America,Taunton,-71.0943,41.9036
New Zealand,Tauranga,176.1667,-37.6833
Italy,Teano,14.0667,41.25
India,Tekkali,84.2355,18.6057
Brazil,Teodoro Sampaio,-52.1678,-22.5328
Mexico,Tequila,-103.8356,20.8794
Italy,Teramo,13.7039,42.6589
China,Tianjin,117.2056,39.1467
Philippines,Toboso,123.5167,10.7167
Japan,Tokorozawa,139.4686,35.7996
Mexico,Toluca,-99.6569,19.2925
Brazil,Itapissuma,-34.8919,-7.7764
Brazil,Itarantim,-40.0658,-15.66
Brazil,Itumbiara,-49.2167,-18.4167
El Salvador,Izalco,-89.6667,13.7333
Russian Federation,Izberbash,47.8636,42.5633
India,Jabalpur,79.9333,23.1667
Brazil,Jaguaquara,-39.9708,-13.5308
Poland,Jarocin,17.5,51.9667
Philippines,Jasaan,124.75,8.65
Nigeria,Ilobu,4.486,7.84
Finland,Imatra,28.7667,61.1833
Brazil,Indaial,-49.2319,-26.8978
Philippines,Indang,120.8833,14.2
Brazil,Itagi,-40.0058,-14.1628
Nigeria,Iseyin,3.6,7.9667
Mexico,Isla,-95.5264,18.0292
Brazil,Itaitinga,-38.5278,-3.9689
Brazil,Itapemirim,-40.8339,-21.0108
South Sudan,Torit,32.575,4.4081
United States of America,Trenton,-74.7641,40.2237
United States of America,Trenton,-83.1929,42.1394
United States of America,Trenton,-84.462,39.4792
United States of America,Trujillo Alto,-66.0096,18.3599
Ireland,Tullamore,-7.5,53.2667
Turkey,Tunceli,39.5472,39.1064
United States of America,Two Rivers,-87.5824,44.1565
Russian Federation,Tyukalinsk,72.2,55.8667
India,Umaria,80.8372,23.5247
United States of America,Willowbrook,-118.2356,33.9209
United States of America,Willowbrook,-87.9454,41.7641
United States of America,Wilmette,-87.7282,42.0771
United States of America,Wolf Trap,-77.2842,38.9395
United States of America,Woodhaven,-83.2374,42.132
China,Xushan,121.2665,30.1697
China,Yancheng,120.1339,33.3936
Democratic Republic of the Congo,Yangambi,24.4414,0.7675
China,Yanji,129.5067,42.9044
United States of America,Yankton,-97.3927,42.8901
Germany,Wenden,7.8667,50.9667
Belgium,Wetteren,3.8833,51.0
Canada,Whitehorse,-135.0691,60.7029
Ireland,Wicklow,-6.033,52.9779
Switzerland,Wil,9.05,47.4667
Germany,Wildeshausen,8.4333,52.9
United States of America,Williamsport,-77.037,41.2399
United States of America,Fox Lake,-88.1844,42.4239
Denmark,Frederikssund,12.0666,55.8333
United States of America,Friendly,-76.9642,38.7601
Germany,Fuldatal,9.5256,51.3484
Japan,Furano,142.3832,43.342
China,Fuzhou,116.3577,27.9814
China,Fuzhou,119.2917,26.0769
United Kingdom of Great Britain and Northern Ireland,Galashiels,-2.8033,55.6194
Germany,Gangelt,6.0,50.9831
Germany,Garbsen,9.5981,52.4183
Cameroon,Garoua,13.4,9.3
Netherlands,Geertruidenberg,4.8586,51.7
Australia,Geraldton,114.6089,-28.7744
Germany,Germersheim,8.3667,49.2167
Colombia,Girardot,-74.8017,4.305
United Kingdom of Great Britain and Northern Ireland,Golborne,-2.5943,53.4758
Portugal,Gondomar,-8.5333,41.15
Portugal,Gondomar,-8.7611,42.1111
India,Govindgarh,81.2964,24.3785
United States of America,Hoffman Estates,-88.1468,42.064
United States of America,Holly Springs,-78.8399,35.6526
United States of America,Holly Springs,-84.4847,34.1681
Germany,Holzminden,9.4483,51.8297
Ethiopia,Huruta,39.35,8.15
Italy,Iglesias,8.5333,39.3167
Japan,Iizuka,130.6833,33.65
Japan,Suzu,137.2605,37.4363
Hungary,Szeged,20.145,46.255
Iran (Islamic Republic of),Tafresh,50.0131,34.6919
Philippines,Tagaytay,120.9333,14.1
Japan,Tajimi,137.1316,35.3328
Japan,Takahagi,140.7167,36.7192
Japan,Takahashi,133.6164,34.7914
Philippines,Talacogon,125.7869,8.4488
Russian Federation,Taldom,37.5333,56.7333
United States of America,Tamiami,-80.4016,25.7556
Israel,Tamra,35.1978,32.8536
Philippines,Tantangan,124.75,6.6167
Indonesia,Tarogong,107.8856,-7.215
Turkey,Tatvan,42.2814,38.5022
United Kingdom of Great Britain and Northern Ireland,Yeovil,-2.637,50.9452
China,Yuanping,112.7134,38.7299
China,Yuncheng,110.998,35.0304
Belgium,Zaventem,4.4667,50.8833
Belgium,Zemst,4.4222,50.9722
China,Zhaozhou,114.7775,37.7527
China,Zhongshan,113.35,22.5333
China,Zhongshan,105.8771,34.943
China,Zhuji,120.2314,29.7169
Mexico,Zinacantepec,-99.7333,19.2833
Russian Federation,Zmeinogorsk,82.2,51.1667
Italy,Abbiategrasso,8.9167,45.4
Côte d'Ivoire,Abidjan,-4.0333,5.3167
United States of America,Acworth,-84.6716,34.0566
United States of America,Adelphi,-76.9649,39.0017
United States of America,Alabaster,-86.8225,33.2198
Russian Federation,Alagir,44.2333,43.0333
Belgium,Alken,5.3078,50.8761
Canada,Alma,-71.65,48.55
Canada,Alma,-84.6556,43.3799
Papua New Guinea,Alotau,150.4333,-10.3167
Madagascar,Ambovombe,46.0833,-25.1764
China,Anqiu,119.1072,36.3619
Madagascar,Antalaha,50.25,-14.8833
United States of America,Antioch,-121.796,37.9787
United States of America,Antioch,-88.0721,42.4742
Ghana,Apam,-0.7397,5.2789
Russian Federation,Arkadak,43.5,51.9333
Russian Federation,Arsk,49.8833,56.1
Armenia,Ashtarak,44.3617,40.2975
Guatemala,Atescatempa,-89.7417,14.175
Italy,Atri,13.9833,42.5833
United Kingdom of Great Britain and Northern Ireland,Ayr,-4.629,55.458
United Kingdom of Great Britain and Northern Ireland,Ayr,147.4066,-19.5744
Netherlands,Baarn,5.2833,52.2167
Germany,Bad Langensalza,10.6467,51.1081
Pakistan,Bahawalnagar,73.2536,29.9928
Thailand,Ban Phai,102.7362,16.073
Philippines,Bangued,120.6179,17.5965
Germany,Bargteheide,10.2667,53.7167
United States of America,Bartlesville,-95.9456,36.7365
Pakistan,Bat Khela,71.97,34.62
Malaysia,Batu Gajah,101.05,4.4667
Italy,Castel Goffredo,10.475,45.2981
Italy,Catanzaro,16.6,38.9
Philippines,Catbalogan,124.8833,11.7833
Ecuador,Cayambe,-78.1561,0.0439
Italy,Cesenatico,12.3944,44.2
Argentina,Chacabuco,-60.4667,-34.6333
Peru,Chachapoyas,-77.85,-6.2167
China,Chaoyang,120.4486,41.5757
Russian Federation,Cherepanovo,83.3667,54.2333
Russian Federation,Cherkessk,42.0575,44.2222
Mexico,Chilpancingo,-99.5,17.55
United States of America,Cimarron Hills,-104.6995,38.8597
Brazil,Coari,-63.1408,-4.085
United Kingdom of Great Britain and Northern Ireland,Coatbridge,-4.0266,55.8625
Ireland,Cobh,-8.2967,51.851
Brazil,Colatina,-40.6308,-19.5389
Dominican Republic,Comendador,-71.7,18.8833
Italy,Como,9.0861,45.8103
Brazil,Conde,-37.6108,-11.8139
United Kingdom of Great Britain and Northern Ireland,Consett,-1.83,54.85
United States of America,Cooper City,-80.2862,26.0463
United States of America,Copperas Cove,-97.914,31.1192
Argentina,Corrientes,-58.8167,-27.4833
Italy,Crevalcore,11.15,44.7167
Azerbaijan,Culfa,45.6308,38.9558
Spain,Culleredo,-8.3894,43.2883
India,Cuncolim,73.9939,15.1773
Brazil,Curvelo,-44.4308,-18.7558
Germany,Cuxhaven,8.6944,53.8611
United States of America,Cypress Lake,-81.8999,26.5392
Guinea,Dalaba,-12.272,10.656
France,Beaune,4.8397,47.025
United States of America,Bedford,-0.47,52.135
United States of America,Bedford,-97.135,32.8464
United States of America,Bedford,-71.5302,42.9406
United States of America,Bedford,-73.6673,41.225
United States of America,Bedford,-71.2783,42.4969
United States of America,Bedford,-86.4895,38.8602
United States of America,Bedford,-81.536,41.3919
Ghana,Begoro,-0.3833,6.3833
China,Beipiao,120.7621,41.802
Brazil,Bela Cruz,-40.1678,-3.0508
Bolivia (Plurinational State of),Bermejo,-64.3425,-22.7322
Germany,Bernburg,11.7333,51.8
United States of America,Berwick,-76.2492,41.0555
India,Betma,75.62,22.68
United States of America,Beverly,-70.8627,42.5681
Russian Federation,Bezhetsk,36.7,57.7667
Pakistan,Bhalwal,72.8994,32.2656
India,Bhiwandi,73.0631,19.2967
Indonesia,Binjai,98.4803,3.5986
Russian Federation,Baksan,43.5339,43.6825
Colombia,Baranoa,-74.9167,10.8
Philippines,Baras,121.2667,14.5167
Philippines,Baras,124.3667,13.6667
Thailand,Nong Bua,100.5858,15.8647
Netherlands,Noordwijkerhout,4.5,52.2667
United States of America,Northbridge,-71.6547,42.13
United Kingdom of Great Britain and Northern Ireland,Norwich,1.2928,52.6286
United Kingdom of Great Britain and Northern Ireland,Norwich,-72.0882,41.5495
United Kingdom of Great Britain and Northern Ireland,Norwich,-80.6,42.9833
Netherlands,Nuenen,5.5467,51.4733
Chile,Nueva Imperial,-72.95,-38.7433
Mexico,Nuevo Casas Grandes,-107.9167,30.4167
United States of America,Oak Lawn,-87.7528,41.7139
United States of America,Oakdale,-92.9641,44.9876
United States of America,Oakdale,-120.8468,37.7618
Japan,Odawara,139.15,35.25
Republic of North Macedonia,Ohrid,20.8019,41.1169
Poland,Olecko,22.5,54.0333
Germany,Olfen,7.3833,51.7167
Brazil,Olindina,-38.3328,-11.3669
United States of America,Orem,-111.6994,40.2981
United States of America,Orinda,-122.179,37.8808
Guatemala,Ostuncalco,-91.6211,14.8693
Nigeria,Oyo,3.933,7.85
Italy,Pachino,15.1,36.7167
India,Padra,73.08,22.23
France,Paita,-81.1064,-5.0911
Philippines,Palo,124.9917,11.1583
China,Panshi,126.0561,42.9392
Brazil,Paragominas,-47.3528,-2.9958
Peru,Paramonga,-77.8186,-10.6744
United States of America,Parkville,-76.5519,39.3832
United States of America,Pasadena,-95.1498,29.6575
United States of America,Pasadena,-118.139,34.1597
United States of America,Pasadena,-76.5537,39.1552
United States of America,Pataskala,-82.7155,40.011
Kazakhstan,Pavlodar,76.95,52.3
United States of America,Pelham,-73.8063,40.9
United States of America,Pelham,-86.7573,33.3114
United States of America,Pelham,-79.3333,43.0333
United States of America,Pelham,-71.324,42.7335
Mexico,Perote,-97.242,19.562
Serbia,Petrovaradin,19.8667,45.25
Thailand,Phatthalung,100.0,7.5
Thailand,Phetchaburi,99.9458,13.1119
India,Phillaur,75.78,31.03
Egypt,Rosetta,30.4164,31.4044
Italy,Rossano,16.6333,39.5667
Russian Federation,Rostov,39.7,47.2333
Russian Federation,Rostov,39.4167,57.1833
United Kingdom of Great Britain and Northern Ireland,Royton,-2.121,53.566
Germany,Rudolstadt,11.3275,50.7169
Czechia,Rumburk,14.5571,50.9516
Malawi,Rumphi,33.8667,-11.0167
Brazil,Ruy Barbosa,-40.4939,-12.2839
Japan,Sakurai,135.85,34.5167
United Kingdom of Great Britain and Northern Ireland,Salford,-2.2931,53.483
Brazil,Salvador,-38.4767,-12.9747
Brazil,Salvador,-75.2231,20.2094
Turkey,Samsun,36.3336,41.2903
Indonesia,Prabumulih,104.2356,-3.4328
Brazil,Presidente Prudente,-51.3889,-22.1256
United States of America,Prichard,-88.1301,30.7735
Canada,Prince George,-122.7494,53.9169
Peru,Pucallpa,-74.55,-8.3833
Spain,Puertollano,-4.1167,38.6833
Israel,Qiryat Gat,34.7717,31.6061
Chile,Quillota,-71.25,-32.8667
India,Rafiganj,84.65,24.82
United States of America,Rahway,-74.2807,40.6077
India,Phulpur,90.3573,24.955
India,Phulpur,82.1,25.55
Brazil,Picos,-23.632,15.083
Brazil,Picos,-41.4669,-7.0769
Germany,Pirmasens,7.6,49.2
United States of America,Plum,-79.7495,40.5024
Italy,Policoro,16.6667,40.2
Sierra Leone,Port Loko,-12.7875,8.7667
United States of America,Poughkeepsie,-73.9211,41.695
United States of America,Randallstown,-76.8024,39.3723
Thailand,Ranong,98.6389,9.9619
Germany,Rathenow,12.3333,52.6
Russian Federation,Reutov,37.8567,55.7622
United States of America,Richardson,-96.7093,32.9716
United States of America,Richmond,-77.4756,37.5295
United States of America,Richmond,-123.1333,49.1667
United States of America,Richmond,-122.3389,37.9477
United States of America,Richmond,173.1833,-41.3333
United States of America,Richmond,-84.8905,39.8318
United States of America,Richmond,-84.2925,37.7307
United States of America,Richmond,-0.301,51.456
United States of America,Richmond,-95.7563,29.5824
United States of America,Richmond,150.7511,-33.5983
United States of America,Richmond,143.1425,-20.7305
Peru,Rioja,-77.1417,-6.05
France,Riom,3.1125,45.8936
Italy,Rocca Priora,12.7667,41.7833
France,Rodez,2.575,44.3506
Philippines,Romblon,122.28,12.55
United States of America,Daly City,-122.4685,37.6862
Brazil,Delmiro Gouveia,-37.9958,-9.3858
Russian Federation,Desnogorsk,33.2833,54.15
Turkey,Develi,35.4925,38.3886
Ukraine,Dniprorudne,35.0027,47.3907
Benin,Dogbo,1.7833,6.8167
United States of America,Dumas,-101.9642,35.8613
United States of America,Dyersburg,-89.3777,36.0465
United States of America,Eatontown,-74.0558,40.2913
United States of America,El Campo,-96.2723,29.2
United States of America,Ellicott City,-76.8345,39.2774
Japan,Ena,137.4128,35.4492
Italy,Giussano,9.2167,45.7
United Kingdom of Great Britain and Northern Ireland,Glenrothes,-3.178,56.198
United Kingdom of Great Britain and Northern Ireland,Glossop,-1.949,53.443
Namibia,Gobabis,18.9667,-22.4333
India,Gobindpur,85.6943,24.782
Spain,Godella,-0.4114,39.52
Brazil,Goiatuba,-49.3569,-18.0128
Netherlands,Goirle,5.0667,51.5167
United States of America,Golden Glades,-80.2013,25.9129
Albania,Gramsh,20.1833,40.8667
United States of America,Granger,-86.1348,41.7374
United States of America,Grants Pass,-123.3317,42.4333
,Granville,-1.5869,48.8381
Mexico,Guasave,-108.4706,25.5744
Germany,Guben,14.7167,51.9533
Cameroon,Guider,13.9486,9.9342
China,Guilin,110.2864,25.2819
France,Guipavas,-4.4008,48.4336
United States of America,Fort Walton Beach,-86.6222,30.4255
France,Fosses,2.5067,49.0981
United States of America,Fountain Hills,-111.7398,33.6073
United States of America,Fountain,-104.6829,38.6886
Brazil,Francisco Morato,-46.7425,-23.2817
Germany,Freiberg,13.3428,50.9119
United States of America,Front Royal,-78.1838,38.926
Germany,Gaggenau,8.3194,48.8039
Israel,Gan Yavne,34.7053,31.7886
Italy,Gela,14.25,37.0667
Netherlands,Gennep,5.9667,51.7
Germany,Genthin,12.1667,52.4
Guyana,Georgetown,-58.1508,6.8058
Guyana,Georgetown,-14.4119,-7.9286
Guyana,Georgetown,-97.6966,30.666
Guyana,Georgetown,-84.5487,38.2247
Guyana,Georgetown,-81.226,31.9849
Guyana,Georgetown,143.55,-18.3
Germany,Gera,12.0833,50.8806
United States of America,Lake Jackson,-95.4521,29.0516
United States of America,Lakeside,-81.7674,30.1356
United States of America,Lakeside,-116.904,32.856
United States of America,Lakeside,-77.4768,37.6132
Thailand,Lam Luk Ka,100.7375,13.9297
Netherlands,Leusden,5.4333,52.1333
United Kingdom of Great Britain and Northern Ireland,Lewes,0.0117,50.8747
Philippines,Lianga,126.0932,8.633
France,Libourne,-0.24,44.92
Czechia,Litovel,17.0762,49.7012
Belgium,Lokeren,3.9833,51.1
Belgium,Londerzeel,4.3,51.0
Senegal,Louga,-16.2167,15.6167
Poland,Lubin,16.2,51.4
Poland,Lublin,22.5667,51.25
Philippines,Lucena,121.6167,13.9333
Philippines,Lucena,-4.4833,37.4
Philippines,Lucena,122.6,10.8833
Philippines,Lucena,-34.8689,-6.9
Lesotho,Mafeteng,27.25,-29.8167
United States of America,Magnolia,-93.2261,33.2775
India,Maihar,80.761,24.262
United States of America,Maitland,-81.3718,28.6295
United States of America,Maitland,151.55,-32.7167
France,Malakoff,2.2944,48.8169
Benin,Malanville,3.3833,11.8667
Italy,Malnate,8.8833,45.8
Democratic Republic of the Congo,Manono,27.4545,-7.2947
Venezuela (Bolivarian Republic of),Maracaibo,-71.6333,10.6333
Germany,Hagen,7.4833,51.3667
France,Halluin,3.1256,50.7836
Germany,Hamburg,10.0,53.55
Germany,Hamburg,-78.8581,42.7394
United States of America,Hanahan,-80.0027,32.9302
Bulgaria,Harmanli,25.9,41.9333
Pakistan,Harunabad,73.1409,29.613
Germany,Hattingen,7.1858,51.3992
United States of America,Hauppauge,-73.2109,40.8211
United States of America,Hayward,-122.0766,37.6328
Finland,Heinola,26.0333,61.2
Japan,Hekinan,136.9934,34.8847
Germany,Hemsbach,8.6564,49.5903
China,Hengyang,112.5857,26.8968
United States of America,Hoboken,-74.0281,40.7452
United States of America,Hoboken,4.3667,51.1667
Somalia,Hobyo,48.5256,5.3514
Solomon Islands,Honiara,159.9556,-9.4319
Paraguay,Horqueta,-57.0436,-23.3442
Armenia,Hrazdan,44.7667,40.5
China,Hsinchu,120.9833,24.8167
Peru,Huaura,-77.6,-11.1
Zimbabwe,Hwange,26.5,-18.3647
Japan,Ichihara,140.1154,35.4981
India,Khed,73.3969,17.7189
Russian Federation,Khimki,37.445,55.8892
Ukraine,Khotyn,26.486,48.5078
Turkey,Kilis,37.1167,36.7167
United States of America,Killeen,-97.7297,31.0753
Austria,Klosterneuburg,16.3167,48.3042
Croatia,Knin,16.1986,44.0414
Papua New Guinea,Kokopo,152.2736,-4.35
Russian Federation,Kola,87.87,22.43
Russian Federation,Kola,33.0833,68.8833
Russian Federation,Kotelnikovo,43.15,47.6333
Chad,Koumra,17.55,8.91
Russian Federation,Krasnovishersk,57.1,60.4167
Russian Federation,Krasnyy Yar,48.3456,46.5331
Russian Federation,Krasnyy Yar,69.2525,53.3239
Germany,Kronach,11.3281,50.2411
Germany,Kronberg,8.5,50.1833
Russian Federation,Kulebaki,42.5333,55.4167
Japan,Kushiro,144.3833,42.9833
Japan,Kushiro,144.4661,42.9961
Mexico,La Barca,-102.5667,20.2833
France,La Crau,6.0742,43.1497
Honduras,La Entrada,-88.7333,15.05
United States of America,La Presa,-117.0027,32.711
Germany,Ilsede,10.1833,52.2667
Brazil,Imbituba,-48.67,-28.24
Brazil,Imbituva,-50.6044,-25.23
Japan,Inagi,139.5046,35.6379
Spain,Inca,2.9167,39.7167
India,Indore,75.8472,22.7167
United Kingdom of Great Britain and Northern Ireland,Inverurie,-2.38,57.28
Japan,Ishigaki,124.1556,24.3406
Spain,Jaen,120.9069,15.3392
Mexico,Jilotepec,-99.5328,19.9519
Mexico,Jilotepec,-96.9224,19.6113
United Republic of Tanzania,Kabanga,30.4986,-2.9022
Finland,Kajaani,27.7194,64.2311
India,Kalavai,79.4196,12.7691
Russian Federation,Kalyazin,37.8833,57.2333
Ukraine,Kalynivka,28.5231,49.4472
Cambodia,Kampot,104.1667,10.6
Finland,Kangasala,24.065,61.4639
India,Karambakkudi,79.141,10.4587
Japan,Kawaguchi,139.7241,35.8077
United States of America,Kearns,-112.0095,40.6519
Belgium,Keerbergen,4.6311,51.0031
United States of America,Kerrville,-99.132,30.0398
United States of America,Kettering,-0.7229,52.3931
United States of America,Kettering,-84.1494,39.6956
United States of America,Kettering,-76.7889,38.8888
India,Khammam,80.1514,17.2473
India,Khandwa,76.35,21.82
Italy,Marsciano,12.3333,42.9167
France,Marseille,5.37,43.2964
United States of America,Mashpee,-70.4908,41.6178
Uganda,Masindi,31.7222,1.6836
Chad,Massakory,15.7333,13.0
Philippines,Medellin,123.9622,11.1286
Cuba,Media Luna,-77.4361,20.1444
Colombia,Melgar,-74.6428,4.2039
Argentina,Mercedes,-58.0333,-33.25
Argentina,Mercedes,-59.4333,-34.65
Argentina,Mercedes,123.0109,14.1093
Argentina,Mercedes,-58.0833,-29.2
Argentina,Mercedes,-97.9128,26.1533
United States of America,Merriam,-94.6933,39.0186
United States of America,Merrill,-89.6994,45.182
Netherlands,Middelharnis,4.17,51.75
Turkey,Midyat,41.3697,37.4167
Brazil,Miguel Alves,-42.895,-4.1658
Uruguay,Minas,-55.2333,-34.3667
Uruguay,Minas,-77.605,21.4894
Brazil,Miranorte,-48.59,-9.5289
India,Moga,75.174,30.822
Italy,Mogliano Veneto,12.2364,45.5619
France,Montauban,1.3558,44.0181
Belgium,Mortsel,4.4667,51.1667
United States of America,Moscow,37.6178,55.7558
United States of America,Moscow,-116.9986,46.7308
India,Mudhol,77.9167,18.9667
India,Mudhol,75.9531,15.6406
India,Mudhol,75.2833,16.35
Mexico,Muna,-89.72,20.48
Mexico,Naranjos,-97.6833,21.3472
Romania,Nehoiu,26.305,45.3531
Germany,Neustadt,8.15,49.35
Germany,Neustadt,10.6089,49.5967
Germany,Neustadt,14.2167,51.0239
Germany,Neustadt,9.1167,50.85
Germany,Neustadt,11.75,50.7333
United States of America,New Lenox,-87.9703,41.5095
United Kingdom of Great Britain and Northern Ireland,Newburn,-1.743,54.983
United Kingdom of Great Britain and Northern Ireland,Newbury,-1.323,51.401
Republic of Moldova,Nisporeni,28.1833,47.0833
Japan,Nisshin,137.0394,35.132
Russian Federation,Nizhniye Sergi,59.3167,56.6667
Germany,Nohfelden,7.1428,49.5867
,Kingstown,-61.225,13.1578
United States of America,Klamath Falls,-121.7754,42.2195
Pakistan,Kohat,71.4333,33.5833
China,Korla,86.1746,41.7259
Ukraine,Korostyshiv,29.0592,50.3186
Guinea,Kouroussa,-9.892,10.653
United States of America,Littleton,-105.0188,39.5915
United States of America,Littleton,-71.4891,42.535
Italy,Lizzano,17.4483,40.3919
Bolivia (Plurinational State of),Llallagua,-66.5833,-18.4167
United States of America,Lochearn,-76.7307,39.3461
Finland,Lohja,24.0667,60.25
Myanmar,Loikaw,97.2092,19.6742
Italy,Lonate Pozzolo,8.75,45.6
Chile,Lota,-73.1667,-37.0833
Angola,Lubango,13.5,-14.9167
Democratic Republic of the Congo,Luebo,21.4167,-5.35
India,Lumding,93.17,25.75
India,Mahendragarh,76.15,28.28
Turkey,Malatya,38.3194,38.3486
Philippines,Manay,126.5328,7.2108
Kingdom of Eswatini,Manzini,31.3667,-26.4833
Ukraine,Krasnodon,39.7333,48.3
India,Kunigal,77.0252,13.0232
Spain,La Carolina,-3.6167,38.2667
Spain,La Garriga,2.2833,41.6804
Spain,La Llagosta,2.1928,41.5156
United States of America,Lady Lake,-81.9299,28.9241
Malaysia,Lahad Datu,118.34,5.03
Belgium,Lanaken,5.6497,50.8925
France,Lannion,-3.4553,48.7325
Italy,Lanuvio,12.7,41.6833
Mexico,Las Margaritas,-91.7333,16.3667
Belgium,Lede,3.9833,50.9667
Italy,Lentini,15.0,37.2833
United States of America,Leominster,-71.7717,42.5209
United States of America,Leominster,-2.7385,52.2282
Mexico,Leon,122.3894,10.7808
Bulgaria,Levski,25.1333,43.3667
China,Liancheng,105.0573,24.0515
United States of America,Lighthouse Point,-80.0891,26.2785
Malawi,Lilongwe,33.7833,-13.9833
Nigeria,Kano,8.5167,12.0
Russian Federation,Karabash,60.2167,55.4833
India,Kareli,79.0638,22.9153
United States of America,Kaukauna,-88.2641,44.2773
Finland,Kerava,25.1,60.4
Poland,Jawor,16.2,51.05
France,Joigny,3.3972,47.9822
Germany,Jork,9.6817,53.5344
Zambia,Kafue,28.1833,-15.7667
United States of America,Mountlake Terrace,-122.3077,47.7921
Morocco,Mrirt,-5.5667,33.1667
India,Muktsar,74.5166,30.4743
Ireland,Mullingar,-7.3378,53.5224
Pakistan,Multan,71.4697,30.1978
Ghana,Mumford,-0.7578,5.2625
Japan,Murayama,140.3833,38.4833
Spain,Murcia,-1.1303,37.9861
Spain,Murcia,123.0333,10.6
India,Musiri,78.45,10.9333
United States of America,Muskego,-88.1291,42.886
Netherlands,Naarden,5.1622,52.2953
,Nanakuli,-158.1445,21.3892
China,Nantong,120.8873,31.9829
France,Jeumont,4.1014,50.2944
India,Kalanaur,75.15,32.02
India,Lala,123.75,7.9667
Thailand,Lang Suan,99.0667,9.95
,Lavagna,9.3333,44.3167
United States of America,League City,-95.1087,29.4874
Ukraine,Lebedyn,34.4823,50.5831
United States of America,Lennox,-118.3586,33.938
Slovakia,Levice,18.6081,48.2164
New Zealand,Levin,175.2867,-40.6219
Germany,Limburg,8.0667,50.3833
Sweden,Lindome,12.1,57.5667
Italy,Lissone,9.25,45.6167
United States of America,Lockhart,-97.6831,29.8785
United States of America,Lockhart,-81.4354,28.627
Germany,Lohmar,7.2167,50.8167
China,Loudi,111.9974,27.7378
Angola,Luena,19.9062,-11.7918
Belarus,Lyuban,28.0525,52.7819
Russian Federation,Lyudinovo,34.4333,53.8667
Netherlands,Maassluis,4.2333,51.9333
Guinea,Macenta,-9.48,8.5504
United States of America,Machesney Park,-89.0266,42.3666
Germany,Mainburg,11.7833,48.65
Indonesia,Malang,112.62,-7.98
Philippines,Manapla,123.123,10.958
Italy,Manfredonia,15.9167,41.6333
Spain,Maracena,-3.6333,37.2
